model,mean,std,train_time
LR,79.246878,0.344533,1
LDA,79.003851,0.743544,0
KNN,85.409963,1.423221,5
NB,80.956857,0.274063,0
CART,87.949773,0.450927,0
SVM,87.392043,0.389886,1661
