model,mean,std,train_time
LR,82.339559,0.346638,0
LDA,82.443167,0.335458,1
KNN,90.972741,0.318207,20
NB,81.506835,0.336606,0
CART,86.817853,0.238947,16
SVM,91.607926,0.180814,1223
