model,mean,std,train_time
LR,77.085678,0.350118,0
LDA,76.974327,0.393623,0
KNN,81.701469,0.308146,2
NB,77.869019,0.439054,0
CART,77.036298,0.277604,4
SVM,79.943069,0.238359,1820
