model,mean,std,train_time
LR,80.262601,0.269928,52
LDA,80.219027,0.248009,1
KNN,67.776653,0.527931,5
NB,76.687710,0.302166,0
CART,83.958519,0.414572,3
SVM,60.489371,0.550413,4640
