model,mean,std,train_time
LR,82.882757,0.346339,3
LDA,82.997017,0.378141,1
KNN,91.822887,0.294433,13
NB,84.069870,0.263164,0
CART,92.801815,0.242481,1
SVM,92.073670,0.213461,1177
