model,mean,std,train_time
LR,82.674581,0.402389,3
LDA,82.766567,0.409614,1
KNN,92.128859,0.241066,12
NB,83.186799,0.253775,0
CART,93.127158,0.186529,1
SVM,91.941984,0.214293,1195
