model,mean,std,train_time
LR,79.059996,0.435663,1
LDA,79.059996,0.435663,0
KNN,80.316801,0.645529,11
NB,72.003180,0.408155,0
CART,81.839925,0.264426,0
SVM,81.672410,0.409672,2157
