model,mean,std,train_time
LR,55.611173,0.501166,2
LDA,55.585999,0.485254,0
KNN,56.028511,0.390219,3
NB,55.821290,0.512184,0
CART,54.606108,0.393451,2
SVM,59.127968,0.586519,3531
